,CONTRIBUTING FACTOR VEHICLE 1,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,vehicle_1_bike
1,Driver Inattention/Distraction,9401,25,1
2,Failure to Yield Right-of-Way,4448,7,1
3,Driver Inattention/Distraction,2352,2,0
4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,2356,20,1
6,Traffic Control Disregarded,1600,13,1
7,Passenger Distraction,1464,7,1
8,Passing or Lane Usage Improper,1052,4,1
9,Failure to Yield Right-of-Way,908,5,0
10,Other Vehicular,801,4,1
11,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,717,4,0
