year,accident_type,rate
2012,cyclists injured,18.92123287671233
2013,cyclists injured,29.379956741167987
2014,cyclists injured,26.092628832354862
2015,cyclists injured,26.06392694063927
2016,cyclists injured,29.630732578916025
2017,cyclists injured,27.33575622029634
2018,cyclists injured,25.382755842062853
2019,cyclists injured,25.77410183509951
2021,cyclists injured,24.712328767123285
2012,cyclists deaths,0.05136986301369863
2013,cyclists deaths,0.07930785868781544
2014,cyclists deaths,0.13046314416177432
2015,cyclists deaths,0.091324200913242
2016,cyclists deaths,0.10720667063728409
2017,cyclists deaths,0.15096449538719597
2018,cyclists deaths,0.05372011818426001
2019,cyclists deaths,0.16024812613078315
2021,cyclists deaths,0.0946450809464508
